Comment,Designator,Footprint,LCSC,Quantity
100K,"R1,R15,R18",R_0402_1005Metric,C25741,3
100nF,"C1,C12,C14,C15,C16,C21,C23,C26,C28,C29,C32,C5",C_0603_1608Metric,C14663,12
10K,"R12,R22,R7",R_0402_1005Metric,C25744,3
10nF,C20,C_0402_1005Metric,C15195,1
10uF,"C11,C9",C_1206_3216Metric,C13585,2
10uF,"C19,C24,C25,C27,C3,C4",C_0805_2012Metric,C440198,6
10uH,L1,L_Chilisin_BMRF00101040,C6860374,1
15K,"R16,R23",R_0402_1005Metric,C25756,2
1K,"R11,R17,R2,R21,R6",R_0402_1005Metric,C11702,5
1K,R8,R_0603_1608Metric,C21190,1
1uF,C2,C_0603_1608Metric,C15849,1
2.2uF,C6,C_0603_1608Metric,C23630,1
2.2uH,L2,IND_XGL6060_COC,C3911671,1
220,R20,R_0402_1005Metric,C25091,1
22nF,C17,C_0603_1608Metric,C21122,1
22uF,"C10,C22",C_1206_3216Metric,C12891,2
22uF,"C18,C30,C31",C_0805_2012Metric,C1729,3
22uF,"C7,C8",C_0805_2012Metric,C45783,2
2K,R9,R_0402_1005Metric,C4109,1
4.7K,"R13,R5",R_0402_1005Metric,C25900,2
47K,R19,R_0402_1005Metric,C25792,1
47uF,C13,CP_Elec_6.3x5.7,C3274488,1
5.1K,"R3,R4",R_0402_1005Metric,C25905,2
82K,"R10,R14",R_0402_1005Metric,C23254,2
BME280,U5,Bosch_LGA-8_2.5x2.5mm_P0.65mm_ClockwisePinNumbering,C92489,1
Conn_02x03_Odd_Even,J1,Molex_Micro-Fit_3.0_43045-0618_2x03-1MP_P3.00mm_Vertical,C240837,1
D_TVS_Small,"D10,D3",D_SOD-882,C126839,2
D_TVS_Small,"D11,D2,D8",D_SOD-882,C207270,3
ESP32-S3-WROOM-1,U1,ESP32-S3-WROOM-1,C2913202,1
IAUC120N06S5L011,Q1,INF-PG-TDSON-8-33-V,C20190977,1
LED_Small,"D1,D4,D5,D6,D7",LED_0805_2012Metric,C2297,5
LM74610QDGKTQ1,U2,SOP65P490X110-8N,C202259,1
LMR604205SRAKRQ1,U3,RAK0009A-MFG,C51940365,1
SMBJ14A,D2_2,D_SMB,C908795,1
SMBJ28A,D2_1,D_SMB,C19077582,1
SW_Push,"SW1,SW2",SW_SPST_Omron_B3FS-100xP,C87038,2
TPS2121RUXR,U6,IC_TPS2121RUXR,C485916,1
TPS62901RPJR,U4,QFN_902RPJR_TEX,C2864847,1
USB_C_Receptacle_USB2.0_16P,J3,USB_C_Receptacle_HRO_TYPE-C-31-M-12,C165948,1
WS2812B,D9,LED-SMD_4P-L1.6-W1.5_XL-1615RGBC-WS2812B,C5349954,1
