Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C12, C14, C15, C16, C21, C26, C28, C29, C32, C5",0603,11,100nF,C14663
"C10, C22",1206,2,22uF,C12891
C11,1206,1,10uF,C89632
C13,CP_Elec_6.3x5.7,1,47uF,C3274488
C17,0603,1,22nF,C21122
"C18, C31",0805,2,22uF,C398815
"C19, C24, C4",0805,3,10uF,C440198
C2,0603,1,1uF,C15849
C20,0402,1,10nF, C15195
C23,0603,1,100nF,C85864
"C25, C27, C3",0805,3,10uF,
C30,0805,1,22uF,C1729
C6,0603,1,2.2uF, C23630
C7,0805,1,22uF, C45783
C8,0805,1,22uF,C45783
C9,1206,1,10uF, C13585
"D1, D4, D5, D6, D7",0805,5,LED_Small,C2297
"D10, D3",D_SOD-882,2,D_TVS_Small,C126839
"D11, D2, D8",D_SOD-882,3,D_TVS_Small,C207270
D2_1,D_SMB,1,SMBJ28A,C19077582
D2_2,D_SMB,1,SMBJ14A,C908795
D9,LED-SMD_4P-L1.6-W1.5_XL-1615RGBC-WS2812B,1,WS2812B,C5349954
J1,Molex_Micro-Fit_3.0_43045-0618_2x03-1MP_P3.00mm_Vertical,1,Conn_02x03_Odd_Even,C240837
J3,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_16P,C165948
L1,L_Chilisin_BMRF00101040,1,10uH,C6860374
L2,IND_XGL6060_COC,1,2.2uH,C3911671
Q1,INF-PG-TDSON-8-33-V,1,IAUC120N06S5L011,C20190977
"R1, R15, R18",0402,3,100K,
R10,0402,1,82K,
"R11, R17, R2, R21, R6",0402,5,1K, C11702
"R12, R22, R7",0402,3,10K,
"R13, R5",0402,2,4.7K,
R14,0603,1,82K,C23254
"R16, R23",0402,2,15K,
R19,0402,1,47K,
R20,0402,1,220,
"R3, R4",0402,2,5.1K,
R8,0603,1,1K,
R9,0402,1,2K,
"SW1, SW2",SW_SPST_Omron_B3FS-100xP,2,SW_Push,
U1,ESP32-S3-WROOM-1,1,ESP32-S3-WROOM-1,C2913202
U2,SOP65P490X110-8N,1,LM74610QDGKTQ1,C202259
U3,RAK0009A-MFG,1,LMR604205SRAKRQ1,C51940365
U4,QFN_902RPJR_TEX,1,TPS62901RPJR,
U5,Bosch_LGA-8_2.5x2.5mm_P0.65mm_ClockwisePinNumbering,1,BME280,C92489
U6,IC_TPS2121RUXR,1,TPS2121RUXR, C485916
