Designator,Mid X,Mid Y,Rotation,Layer
C1,86.06,-112.255,270.0,top
C10,81.21,-87.44,0.0,top
C11,74.855,-60.0,180.0,top
C12,78.95,-59.56,0.0,top
C13,76.87,-54.94,180.0,top
C14,66.045,-86.335216,180.0,top
C15,66.275,-84.375,180.0,top
C16,79.06,-65.08,180.0,top
C17,63.52,-89.555216,270.0,top
C18,69.15,-88.75,270.0,top
C19,60.32,-52.73,180.0,top
C2,85.38,-105.27,90.0,top
C20,82.95,-112.825,270.0,top
C21,84.36,-112.255,270.0,top
C22,81.2,-84.62,0.0,top
C23,83.68,-56.08,90.0,top
C24,85.69,-56.29,90.0,top
C25,67.2,-73.675,90.0,top
C26,69.3,-73.85,90.0,top
C27,71.0,-81.175,270.0,top
C28,68.95,-80.975,270.0,top
C29,64.475,-78.5,180.0,top
C3,85.42,-108.88,90.0,top
C30,66.25,-82.2,180.0,top
C31,64.225,-74.475,0.0,top
C32,66.45,-80.25,180.0,top
C4,60.34,-55.07,180.0,top
C5,77.605,-93.86,0.0,top
C6,70.925,-59.475,270.0,top
C7,71.35,-73.6,90.0,top
C8,69.125,-85.125,90.0,top
C9,74.86,-62.68,180.0,top
D1,56.15125,-87.7,0.0,top
D10,84.07,-96.68,90.0,top
D11,84.63,-94.42,90.0,top
D2,63.46,-72.41,0.0,top
D2_1,68.3,-64.125,0.0,top
D2_2,68.3,-69.05,0.0,top
D3,84.07,-98.74,270.0,top
D4,56.15125,-85.16,0.0,top
D5,56.15125,-82.45,0.0,top
D6,56.15125,-90.35,0.0,top
D7,56.15125,-92.98,0.0,top
D8,52.75,-72.4,180.0,top
D9,56.17875,-95.59,0.0,top
J1,57.775,-67.16,270.0,top
J3,90.81,-97.23,90.0,top
L1,78.26,-72.86,270.0,top
L2,74.43,-87.2717,90.0,top
Q1,67.2525,-54.315,0.0,top
R1,86.365,-58.8,0.0,top
R10,64.965,-77.15,180.0,top
R11,59.225,-87.7,180.0,top
R12,71.015,-77.225,0.0,top
R13,71.015,-78.375,180.0,top
R14,81.6,-61.685,270.0,top
R15,81.37,-57.86,270.0,top
R16,81.83,-59.505,180.0,top
R17,84.24,-60.0,180.0,top
R18,84.25,-61.275,180.0,top
R19,63.34,-87.32,180.0,top
R2,59.225,-85.16,180.0,top
R20,59.225,-92.98,180.0,top
R21,59.225,-90.35,180.0,top
R22,63.25,-76.665,90.0,top
R23,63.34,-86.08,0.0,top
R3,89.055,-91.21,180.0,top
R4,89.035,-103.21,180.0,top
R5,59.225,-82.45,180.0,top
R6,84.21,-58.8,180.0,top
R7,84.25,-62.475,0.0,top
R8,63.475,-81.025,90.0,top
R9,63.23,-83.62,90.0,top
SW1,89.05,-75.35,270.0,top
SW2,89.075,-64.625,270.0,top
U1,72.375,-108.31,180.0,top
U2,65.95,-59.5,0.0,top
U3,79.075001,-62.264999,0.0,top
U4,66.049874,-88.728908,270.0,top
U5,84.195,-52.82,270.0,top
U6,67.975,-77.775,90.0,top
